build_group,build_sequence,one_table,one_column,many_table,many_column,cardinality,cross_filter_direction,active,relationship_class,rationale,pbix_creation_status,pbix_validation_status
10,1,DimPlant,plant_id,DimLine,plant_id,1:*,single,True,canonical_active,Plant filters line; no parallel direct plant path into machine-grain facts.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
10,2,DimPlant,plant_id,DimWarehouse,plant_id,1:*,single,True,canonical_active,Plant filters warehouse; geography remains role-specific attributes rather than a shared Region dimension.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
10,3,DimPlant,plant_id,EmployeeAssignment,plant_id,1:*,single,True,canonical_active,Current assignment snapshot uses one direct Plant path; no active Line relationship is admitted.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
11,4,DimLine,line_id,DimMachine,line_id,1:*,single,True,canonical_active,Line filters machine; machine becomes the operational fact filter key.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
12,5,DimDepartment,department_id,DimJobRole,department_id,1:*,single,True,canonical_active,Department filters Job Role as the only department route into EmployeeAssignment.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
12,6,DimEmployee,employee_id,EmployeeAssignment,employee_id,1:*,single,True,canonical_active,One current assignment per synthetic employee.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
12,7,DimJobRole,job_role_id,EmployeeAssignment,job_role_id,1:*,single,True,canonical_active,Job Role filters EmployeeAssignment; no direct Department→EmployeeAssignment relationship is active.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
12,8,DimShift,shift_id,EmployeeAssignment,shift_id,1:*,single,True,canonical_active,Shift filters the current assignment snapshot only; true shift production remains gated.,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,9,DimDate,date,CapacityWaterfall,month_date,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,10,DimDate,date,CustomerService,date,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,11,DimDate,date,DemandForecast,month,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,12,DimDate,date,Downtime,date,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,13,DimDate,date,EnterpriseMonthly,month_date,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,14,DimDate,date,Finance,month,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
20,15,DimDate,date,MORI,month_date,1:*,single,True,canonical_active,,NOT_YET_CREATED_IN_PBIX,NOT_YET_VALIDATED_IN_PBIX
