check_id,category,requirement,status,evidence_reference,notes
A01,Import,All 58 canonical CSV exports are loaded.,NOT_YET_VALIDATED_IN_PBIX,,
A02,Model,DimDate is marked as the Date table using DimDate[date].,NOT_YET_VALIDATED_IN_PBIX,,
A03,Model,Exactly 45 active canonical relationships exist.,NOT_YET_VALIDATED_IN_PBIX,,
A04,Model,Exactly 2 inactive shipment date relationships exist.,NOT_YET_VALIDATED_IN_PBIX,,
A05,Model,Every canonical relationship is 1:* and single-direction.,NOT_YET_VALIDATED_IN_PBIX,,
A06,Model,No many-to-many relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A07,Model,No bidirectional relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A08,Model,No fact-to-fact relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A09,Model,No direct active DimPlant→ProductionKPI relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A10,Model,No direct active DimLine→ProductionKPI relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A11,Model,No direct active DimLine→EmployeeAssignment relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A12,Model,No direct active DimDepartment→EmployeeAssignment relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A13,Model,No shared active DimRegion relationship exists.,NOT_YET_VALIDATED_IN_PBIX,,
A14,Model,All tables documented as disconnected remain disconnected.,NOT_YET_VALIDATED_IN_PBIX,,
A15,Filtering,Plant filters machine-grain facts only through Plant→Line→Machine.,NOT_YET_VALIDATED_IN_PBIX,,
A16,Filtering,Department filters EmployeeAssignment only through DimJobRole.,NOT_YET_VALIDATED_IN_PBIX,,
A17,Filtering,Date filtering works for each intended connected fact/mart.,NOT_YET_VALIDATED_IN_PBIX,,
A18,Filtering,"Slicers do not multiply revenue, production, shipment, or workforce totals.",NOT_YET_VALIDATED_IN_PBIX,,
A19,Reconciliation,All headline measures match generated targets within tolerance.,NOT_YET_VALIDATED_IN_PBIX,,
A20,Reconciliation,Latest MORI Band equals the generated expected text.,NOT_YET_VALIDATED_IN_PBIX,,
A21,Disclosure,Synthetic enterprise data disclosure is visible.,NOT_YET_VALIDATED_IN_PBIX,,
A22,Disclosure,MORI/OLI/Data Trust are labeled project-defined where shown.,NOT_YET_VALIDATED_IN_PBIX,,
A23,Disclosure,"Predictive-maintenance output is labeled risk score, not probability.",NOT_YET_VALIDATED_IN_PBIX,,
A24,Disclosure,Scenario outputs are labeled Simulated and not realized savings.,NOT_YET_VALIDATED_IN_PBIX,,
A25,Disclosure,Forecast outputs are labeled Model-derived.,NOT_YET_VALIDATED_IN_PBIX,,
A26,Disclosure,Map surfaces use SIMULATED ENTERPRISE FOOTPRINT labeling.,NOT_YET_VALIDATED_IN_PBIX,,
A27,Evidence,Relationship/model screenshots are captured only after validation.,NOT_YET_VALIDATED_IN_PBIX,,
A28,Evidence,Reconciliation evidence is stored in evidence/powerbi_reconciliation/.,NOT_YET_VALIDATED_IN_PBIX,,
A29,Acceptance,PBIX file name is MEDNEXUS_Enterprise_Operational_Intelligence.pbix.,NOT_YET_VALIDATED_IN_PBIX,,
A30,Acceptance,PBIX acceptance is not claimed until all required checks are PASS.,NOT_YET_VALIDATED_IN_PBIX,,
